Main muscle group,Sub muscle group,exercise name,equipment
Chest,Triceps,Barbell Incline Bench Press,Barbell
Chest,Triceps,Barbell High Incline Bench Press,Barbell
Chest,Triceps,Barbell Bench Press,Barbell
Chest,Triceps,Dumbbell Incline Bench Press,Dumbbell
Chest,Triceps,Dumbbell Incline Chest Flys,Dumbbell
Chest,Triceps,Dumbbell Bench Press,Dumbbell
Chest,Triceps,Dumbbell Chest Fly,Dumbbell
Chest,Triceps,Dumbbell Decline Bench Press,Dumbbell
Chest,Triceps,Dumbbell Decline Chest Fly,Dumbbell
Chest,Triceps,Dumbbell Decline Guillotine Bench Press,Dumbbell
Chest,Triceps,Dumbbell Incline Chest Fly,Dumbbell
Chest,Triceps,Dumbbell High Incline Bench Press,Dumbbell
Chest,Triceps,Weighted Dip,Weighted Vest
Chest,Triceps,Machine Pec Fly,machine
Chest,Triceps,Machine Chest Press,machine
Chest,Triceps,Cable Chest Press,Cable
Chest,Triceps,Cable Pec Fly,Cable
Chest,Triceps,Cable Decline Bench Press,Cable
Chest,Triceps,Cable Decline Bench Chest Fly,Cable
Chest,Triceps,Cable Incline Chest Fly,Cable
Chest,Triceps,Cable Incline Bench Press,Cable
Chest,Triceps,Cable Bench Chest Fly,Cable
Chest,Triceps,Cable Bench Press,Cable
Chest,Triceps,Cable Decline Bench Chest Fly,Cable
Chest,Triceps,Cable Decline Bench Press,Cable
Chest,Triceps,TRX Pec Fly,TRX
Chest,Triceps,TRX Pushup,TRX
front-shoulders,Triceps,Barbell Overhead Press,Barbell
front-shoulders,Triceps,Dumbbell Lateral Raise,Dumbbell
front-shoulders,Triceps,Dumbbell Seated Overhead Press,Dumbbell
front-shoulders,Triceps,Dumbbell Standing Bayesian Lateral Raise,Dumbbell
front-shoulders,Triceps,Dumbbell High Incline Bench Press,Dumbbell
front-shoulders,Triceps,Dumbbell Bent Arm Lateral Raise,Dumbbell
front-shoulders,Triceps,Seated Lateral Raise,Dumbbell
front-shoulders,Triceps,Laying Lateral Raise,Dumbbell
front-shoulders,Triceps,Machine Overhand Overhead Press,Cable
front-shoulders,Triceps,Machine Neutral Overhead Press,Cable
front-shoulders,Triceps,Cable Overhead Press,Cable
front-shoulders,Triceps,Cable Chest Press,Cable
front-shoulders,Triceps,Cable Low Single Arm Lateral Raise,Cable
front-shoulders,Triceps,Cable Low Bilateral Lateral Raise,Cable
front-shoulders,Triceps,Cable Rope Single Arm Low Lateral Raise,Cable
front-shoulders,Triceps,Cable Rope Mid Lateral Raise,Cable
front-shoulders,Triceps,TRX I Raise,TRX
front-shoulders,Triceps,TRX Pushup,TRX
front-shoulders,Triceps,TRX Y Raise,TRX
biceps,,Barbell Curl,Barbell
biceps,,EZ Bar Preacher Curl,Barbell
biceps,,EZ Bar Reverse Preacher Curl,Barbell
biceps,,Dumbbell Curl,Dumbbell
biceps,,Dumbbell Hammer Curl,Dumbbell
biceps,,Dumbbell Incline Hammer Curl,Dumbbell
biceps,,Dumbbell Incline Reverse Curl,Dumbbell
biceps,,Dumbbell Incline Zottman Curl,Dumbbell
biceps,,Dumbbell Spider Curl,Dumbbell
biceps,,Dumbbell Twisting Curl,Dumbbell
biceps,,Dumbbell Concentration Curl,Dumbbell
biceps,,Cable Seated Bayesian Reverse Curl,Cable
biceps,,Cable Seated Bayesian Hammer Curl,Cable
biceps,,Cable Seated Bayesian Curl,Cable
biceps,,Cable Bar Curl,Cable
biceps,,Cable Rope Hammer Curl,Cable
biceps,,Cable Bayesian Curl,Cable
biceps,,TRX Curl,TRX
biceps,,TRX Hammer Curl,TRX
biceps,,TRX Reverse Curl,TRX
biceps,,TRX Rotating Row,TRX
